/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress,/AccountID/SummonerLevel
"0f3f6a78-6345-46c8-8e76-e3b2fb38466f","RANKED_SOLO_5x5","DIAMOND","I","_IOajpup_T_FSwYkdoNCVNt2qJVH18LoK2zYinmhR6gqbzp3","RomaEdetVChalik",100.0,330.0,314.0,false,false,true,false,3.0,1.0,1.0,"WLNNN",qwdhXwsLAmIPU2jlnFIqPGGMr3bumhehI1eOHH2eUHIA-1A,137
"e8d8fcc0-d093-45b8-853c-7a226b205b80","RANKED_SOLO_5x5","DIAMOND","I","ha2p0kwjtk6b9QWDcZHJAeFSa3ALqJW52OLsD65ElI5Dcshk","Morello Salesman",75.0,89.0,62.0,false,false,false,false,,,,,fYCYQO7SZA4kavEpiRBXCBgv6H8qpu4v_nZczn-xZG8AJoo,93
"13cf8aec-b387-4bee-a6e9-8b6b93ec19b3","RANKED_SOLO_5x5","DIAMOND","I","16SsTiNS95gpnAKJkj7IbCbZ9zh3Bfwcdvm9SYE_sh_G0sIq","Prestige Pug",16.0,113.0,91.0,false,false,false,false,,,,,aJ4gOhgKNnl3y9rHIfZbM1j65Cwe7DMRbWkhhPL2JplOjzs,347
"0aecda46-d40d-4b11-9835-f69a51fcabc3","RANKED_SOLO_5x5","DIAMOND","I","U7tiZetRPuphlR9Z1SZ_xekyVEC59zMIeCOoAb0LAyn9Nd7_","ROX ExiT",74.0,19.0,15.0,false,false,false,false,,,,,eG4i7cqyryzxu3NH1SVhkEBpRce1-HaWa9ftUrrF2akYpGw,66
"5ea27c92-641b-46dc-8ad3-fbafbd201802","RANKED_SOLO_5x5","DIAMOND","I","2-dr30nGSCdMmXvOu4o20WnJkHLM2Z8S-ymWa0FI_wb9ZynH","LUCΙFER",0.0,206.0,187.0,false,false,false,false,,,,,LPBn2KU9A2GgWTSaqqb-1M0WXJ1Q1FToDl8DJDPHHQ8yedQ,123
"2be83c83-18af-489f-a47b-8bedbe414504","RANKED_SOLO_5x5","DIAMOND","I","kV2yIKszNajITKJ5QjyZPHgB1EBYbHUQIr55G8nzRkfSLqe5","Syyron234",10.0,126.0,127.0,false,false,false,false,,,,,5fl6MXQT4dxyx9NNUL0-MRgflbk1xH8naiQUmpctmSBLfog,124
"1c23a3f0-7056-49f0-bb45-994b4ea995a1","RANKED_SOLO_5x5","DIAMOND","I","eIh38UR59Gw4DZ2aOSZ56CI_HQ6DmdLWgEA--Fb3604-TwAI","Mr Never Right",18.0,53.0,31.0,false,false,false,false,,,,,K-tDCAKaPJg0MspuJGs-JTM3cqzMI0R3a52wr9buAT39IfY,58
"e04e7033-c87d-44bd-bc54-a1e9e739f04e","RANKED_SOLO_5x5","DIAMOND","I","33CvP9CzjC1B2UmxIi9SQo63LHj8ax5vqZfJO1fTBTuSD-1H","p1noyszn",84.0,59.0,64.0,false,false,false,false,,,,,1aPGjwuFMY9Dvq8DCn6WkJ0F7yGwig6ODWNwoofavvHfxys,160
"81b564f9-7e66-4e97-8d77-882a924d1ff1","RANKED_SOLO_5x5","DIAMOND","I","hzbkYkaACA3xsTHc1YUIamlZ388wD_h3lLQ_a1LuTvuUWIJh","Tilted Alice",86.0,64.0,57.0,false,false,false,false,,,,,zElXKW16gByveWiR_3RHiMbeCmAn2qSYmFjurxsPCwXgTKU,98
"fb533388-766c-40c3-b862-47dd13f187d3","RANKED_SOLO_5x5","DIAMOND","I","PB24CzjPDEULpbjlsGvHv7NCy3eof9u7furGZ5jDRKY_0pUe","Ice Mage",25.0,98.0,95.0,false,false,true,false,,,,,8K_jbWJBlrpFm_dP2JHQFV0nZ3c9CplfIQOuY_DlmjZPvLo,82
"4bd86f17-feb5-4f62-80ea-403b737277b9","RANKED_SOLO_5x5","DIAMOND","I","S5c8M334cicaKjdqCpa_exAAT75kimyd40nATk3efE9080n8","L O L U S",0.0,59.0,47.0,false,false,false,false,,,,,qFurVeK50e4H0TY5-S9VittgDA6ntHSELbUdFWhAKQLbtAc,140
"4e466fe3-2203-4d62-8735-29fc3e31ed31","RANKED_SOLO_5x5","DIAMOND","I","cd_8ALcN5Zrx4UuHkhrqSOALktRNXhvY94yFYLhd1qPyKEE8","Busty Jessica",48.0,60.0,50.0,false,false,false,false,,,,,fRjyeMjvbwC6C2mQ_oD0ArPVXniUnBvX8VEYOt1VHakckHM,139
"32a7a461-22d0-4989-a069-508dca1a0ef0","RANKED_SOLO_5x5","DIAMOND","I","0je6yCq-Fb3MfRiXjzRFsS1uHPD5zv9C973rBt9MkoAC4S1x","OneBaldGuy",39.0,77.0,76.0,false,false,false,false,,,,,IRY6nKjQehGr3M-JUZuDXnGps2otSp5qyYAPiIJas_ABZPs,213
"971f4a8a-72e3-4c75-a667-34d0ba3ac602","RANKED_SOLO_5x5","DIAMOND","I","F7sAFp7q4tg8GVoPPFo2DvcAB3mC2gq_y6ilxaZcR-jXMPNK","zxzxzxzcxz",26.0,51.0,53.0,false,false,false,false,,,,,b99b_P1bC-21BANamKVHQZjo-W9J6hUA-ARG-GQWOGOc3wc,116
"51c846fd-c6fb-400e-80f4-d0c5c5d65546","RANKED_SOLO_5x5","DIAMOND","I","ttyFgzsD2N5fSTTXRRQDZpD_4zN8FslACY5505Lkt-LOO7K5","Kilpi",52.0,43.0,36.0,false,false,false,false,,,,,DJG2pd-8RBHQ5LGWa6fI3WYnrG5VU7yKgz8e-z4_qK8hRNg,109
"1436747d-7f29-419d-9b47-4020f7f07476","RANKED_SOLO_5x5","DIAMOND","I","beA1_ySJzlvuQCrSWJyCkYgaKvg4TyUGFBUm9yEKAsvs3Zd8","Hasagi1232006pl",75.0,75.0,54.0,false,false,false,false,,,,,M9VepizsRaJnJLS7ujcMvEOBFovq5NPkgCmOy514-myMDPI,82
"d6e154f0-4138-488f-b58c-f386f1f3ed9d","RANKED_SOLO_5x5","DIAMOND","I","xz070hYD_RW3BmHtcY_NaPpn0NXQ8eF4hNswjlODxmRxEGwd","AndersTheSlayer",0.0,114.0,57.0,false,false,false,false,,,,,2C_fFzpWGi5lV9424cHdxWu1R2SQD348Kem2JBCkagSeAlE,168
"d6e154f0-4138-488f-b58c-f386f1f3ed9d","RANKED_SOLO_5x5","DIAMOND","I","rXKKp51lrFu2xR3njzwB_QSHTVPjzQaliTkHNRd0A302qJjp","             diò",48.0,62.0,30.0,false,false,false,false,,,,,nxEvundrZMKtavlEwDBOWLG1b-1s1FbS22gb8mCi-I2Y6JQ,337
"4dab5858-2288-4a30-b9a4-c1f9d83f1a57","RANKED_SOLO_5x5","DIAMOND","I","jCtMTZEglS-KwsaVVBXsr9AN3sDhvNkrU85Vq72hULJn81pn","LEVIΑCKERMAN",11.0,111.0,93.0,false,false,false,false,,,,,GEkIx9pIFSprIgYM25VAdSlmz3_Xs_LSpwD8eiWgEKOsBas,118
"41d71f00-26c6-4534-b6b5-aed4804b778e","RANKED_SOLO_5x5","DIAMOND","I","VnliTk15ItSI13HVz2NeX0CWGi4dadPtImHZJk6bHaV-4Kny","hammannx",7.0,63.0,44.0,false,false,false,false,,,,,VfGDskjdGGMBeR9g5dhtAjy_SyFoN2FWuAxSFg2sET3wBw4,53
"181105d7-50f5-434b-a5c3-dea6aee6ee4f","RANKED_SOLO_5x5","DIAMOND","I","D_yjNvT9--UTLD-fVcMkoyNHmqdHtyfhL2Mk8Jnyz5gASuVF","PRINCE Lelouch",17.0,185.0,173.0,false,false,false,false,,,,,dJlY6OqHdGVRYwPBX92eOrDY_vOh8R7aPQdzYLvd0nRcn10,145
"dbf462c4-1367-43ac-9549-d5811215b592","RANKED_SOLO_5x5","DIAMOND","I","oWDtoNnwQcjgpWLQ4DA1G6UXVPXUOXui1wNEygQJJCfl5sW_","PërrierTranche",0.0,151.0,112.0,false,false,false,true,,,,,Sr5492t13OlCSqZLBhygkUC2A2sHAWhZorHVaw2h22jnRv8,239
"474f5b4e-47d2-4e17-a60a-fd13574f7487","RANKED_SOLO_5x5","DIAMOND","I","CIZ6lT36MVyknl1pecNpEo3SHGcUSPHP-WpKLaui84H-pb80","D GAINZZZ",31.0,195.0,156.0,false,false,false,false,,,,,2hfcZGasgPHA7xVQr1sl9tb6fDCDU4gHrrbgHW8Q19a3svE,383
"4d174fab-e00f-40df-bf7e-ca19cef422c5","RANKED_SOLO_5x5","DIAMOND","I","CnY9ZwBwU1PfYWM44qzumOAbf1IBAgR1l-HnhwzzKIPc7Aty","Cartî",23.0,85.0,60.0,false,false,false,false,,,,,7K90jc9YTcBbAvNm-e0q4eFgUy2e5U3k0CQyd7heX9Y-6kw,62
"bdaac63f-de54-4af9-be1b-5c3b74807e94","RANKED_SOLO_5x5","DIAMOND","I","4bTLjlGbDXwPNuzDZ1seDf82CAztb1O5GAC0ddbyGtdxVOfT","LaCigogne",37.0,51.0,49.0,false,false,false,false,,,,,sXDEffGNi5NRV5lFfPTnmWWDrv6QtF60rOLgsPWuNcz08nQ,92
"074353a3-0bcd-446d-aec8-4207d9716b17","RANKED_SOLO_5x5","DIAMOND","I","p3GOLV9xfvbNKefYHxz-C6uljgJDHuQqwZZFBfJGyuU5NLNn","HaveMerzyOnMe",18.0,42.0,28.0,false,false,false,false,,,,,iWOSFTaeCeZobQxb0VQnWc3MDRpRBu-tKKrfTRCw2vfPONI,235
"0f622700-5826-4705-ad15-31fc9084a2d9","RANKED_SOLO_5x5","DIAMOND","I","xTFXXpGSTrx6NNcfI6d5XQIsV5Ucsr_dHBJiBqmg7aVAuY_q","urineinthebrain",48.0,72.0,73.0,false,false,false,false,,,,,TtIByl6Ohj4tX6UUNAPj4X5IY-iAtmT-sqThn8ClBUM0LKg,177
"0f622700-5826-4705-ad15-31fc9084a2d9","RANKED_SOLO_5x5","DIAMOND","I","q-hevc0aBZr2BAR_4RVbpbbmYdpALrnnhhxXzDTa5VZuL1G7","Nick The Stick",57.0,201.0,190.0,false,false,false,false,,,,,QdMfeGWwXzKzdiyPd12EHBN_q8XyTVLaBB1MNjUUA43SCIg,303
"130d5e47-df57-4cb6-b6d1-5cf8b14c86aa","RANKED_SOLO_5x5","DIAMOND","I","GYmyHueV5MIcCfNFueIYuFlcS9wUc377CgV3f7hb48JYVRVM","Hi Im Brko",70.0,32.0,23.0,false,false,false,false,,,,,t5w5fgk3NbFGRmcPU6LX09x51exG8Mr-qh1kCdrzCCdhVeQ,112
"5858b8aa-9a71-4ce3-8997-6c947c9af7f3","RANKED_SOLO_5x5","DIAMOND","I","fgZKzFnIZW9nKzhDy6baRFSNabr_XXdtM9UghzMpNHsjXol5","kasadei",100.0,214.0,206.0,false,false,false,false,3.0,1.0,2.0,"WLLNN",cBRAySZn2jAwjsDIJPGqGcJG5B9YBvjQUh0XtqnzhX-1JZM,249
"2ce8d9bb-0560-4bd4-ae6c-f4be30a2b66d","RANKED_SOLO_5x5","DIAMOND","I","KDmOCURlefggZ30a6-ezQaPdNJm69yJabTE78CUpJsg7wiKj","proxi madafaka",75.0,150.0,145.0,false,false,false,false,,,,,nZL6aNAdqE-eAHlNEvCm-spaj0s-2rD6zDPYxd4VkxlAGps,269
"20aacbd0-1579-4d67-ad52-b154a0d576d4","RANKED_SOLO_5x5","DIAMOND","I","Z-lexZlwvSQU0qv0m4rt-BSPM4Qe3QBKD9aZgC7KqqsF5nrn","CurlG på d beat ",100.0,401.0,377.0,false,false,true,false,3.0,2.0,1.0,"WWLNN",xUPm3_YxWp0v9TdwmV9sPHjLap5FDZI-Qzh8crVjAdE6ByM,382
"82a9c00e-1bea-41bd-a7ad-6cb76a431fe9","RANKED_SOLO_5x5","DIAMOND","I","3IjOGNjpFx_lyNO3F_HAH91zpssK3OuZKwyXqH_VIlKm3a_s","My name iś Jesus",33.0,94.0,39.0,false,false,false,false,,,,,hVjT4-ovghTX4wA82LRtmd2jRFtgsJbQ4Trkxg6Oj-FLzbc,40
"c38423b6-0d79-4c1b-84f1-d48cb6bac0f3","RANKED_SOLO_5x5","DIAMOND","I","3igTpMMIT7p9p23jh2C-Zg34wAuAfjd531KD9Uf5jw55T4Q_","GGiler",100.0,58.0,48.0,false,false,false,true,3.0,0.0,0.0,"NNNNN",3xvG9jw0ChT8DRLp2MDnKkkvzpCVW6BPvBXs2gJpkZwst2M,137
"71a4d346-ea5b-4722-a7d2-825cc2698f1b","RANKED_SOLO_5x5","DIAMOND","I","8gLmlWVeGTKLFuaRXwyTc8R5pP1tzDwpWzYvh4XmXOeBIfpP","Adlionix",90.0,35.0,19.0,false,false,false,false,,,,,GNgqdjGxHbayp62Z1tPjbG5QixmYRCOEZFHSk3ht_wn54Sk,97
"1e5bd549-56b2-4bc6-bc9e-54d4ef331566","RANKED_SOLO_5x5","DIAMOND","I","GcUg0htALMs39z0vkt8ubF3ZVDqCJno9Oz_Y4TYEyzeG8KMa","TARDÎS",1.0,196.0,193.0,false,false,true,false,,,,,BCcQeiz0BtgyA4TdYrEPnRObLRcV_iZXdgDK7SG9rWMNihg,124
"2ce8d9bb-0560-4bd4-ae6c-f4be30a2b66d","RANKED_SOLO_5x5","DIAMOND","I","-Ovria6z4eCaugt9_oGeHxjIJhzagUwRwr5j2J6rAZ0-NcaI","H32S2ASDA21ASFSD",15.0,68.0,55.0,false,false,false,false,,,,,IGmWAv6lM4uPbLZh8kpvHH0gZxEixBabBOMx5Tk8YBmIYZc,102
"cc78b8c9-c226-4d94-a2d5-d8b199009f40","RANKED_SOLO_5x5","DIAMOND","I","HZ5MB_pvxvH8ByI1NV9X8AHlhV2FmtaXDaEhg4fElLH_1rD6","Dimil Q",80.0,297.0,298.0,false,false,false,false,,,,,CW5CjEaS5DBePLDsiTX60cuF5kTG5TFfHBxDaiYbijQBHM0,223
"e04e7033-c87d-44bd-bc54-a1e9e739f04e","RANKED_SOLO_5x5","DIAMOND","I","5gM8__h62jNfwyIBSMKmzeZwfE91j_ITd-Pn1XpaCYNOstdW","Shïru",14.0,27.0,29.0,false,false,false,false,,,,,hYs_dz8N183TLkJh_ibob7BRvntAQ6_uxf7Ra2hKQ3OwHIk,225
"bfd51868-3f68-4758-b5d2-c8bfa00975e3","RANKED_SOLO_5x5","DIAMOND","I","4YFMqIgJdL7hK2yC2fLgsD7PnjN3sC3z8Ls_Y_z2d7kusyGV","Tesco Meal Deal",16.0,70.0,74.0,false,false,false,false,,,,,xJA0LRumiCqZWuEvbKqzVWStlOZYbmWu88DGZU9bo1gWPIA,163
"4e466fe3-2203-4d62-8735-29fc3e31ed31","RANKED_SOLO_5x5","DIAMOND","I","er4qTk25qgFLV4ESOSOeJxyMGEj1FBQIYlYFSz_va7rkNNaM","Yeezy Ghost v2",38.0,145.0,127.0,false,false,false,false,,,,,klx9YwUmYlZk8IUDANm_OIsU7DazRwzbuV2JEKpRLUYCiFw,128
"0d61be27-5a3b-4f93-a2d2-9056f24c4179","RANKED_SOLO_5x5","DIAMOND","I","_MUXRsEoJEBl9bhkhJpDKGnI9IhpHPA6eCvKM6VBeoxQjYtK","burgerflipper98",100.0,121.0,110.0,false,false,true,false,3.0,0.0,1.0,"LNNNN",-8SQorWAR1PfebPlt6XlICe90YgmOgHmz7AMD0OsTHJMuEM,186
"beed5efe-f574-46d0-a449-195a5bff9350","RANKED_SOLO_5x5","DIAMOND","I","VQMLTw0C6N2u0naYMmpIunQMqcCMLjlZD36yp02gKFRK8_kz","Fast 2",94.0,81.0,67.0,false,false,false,false,,,,,hbmP_MAaGM2F0gkeNNcXM-43OKZGKepxk1UPX40V8df4ljg,216
"a1d43e95-6fb1-4c9d-a08e-888eb8e440d0","RANKED_SOLO_5x5","DIAMOND","I","0RGHstYhx2LbWtcSSepfzCVV88ofWf-oepe89ta_1Lsgrbsz","SNORTINGRICK65",26.0,211.0,206.0,false,false,true,false,,,,,OeKr3B2L5JdtHXM6Ris8_iKcJETUUKBql0g_EX6PVTjvGqU,204
"ffd11364-bea5-41e9-bca7-5549378596bb","RANKED_SOLO_5x5","DIAMOND","I","zNVtdJOfhmn0DvTCgJPxmcGfNVJxTJhy97sJXpz709W_vSZE","LPL Bandwagon",42.0,34.0,19.0,false,false,false,false,,,,,9BXOaxgFsHajJn1z67KoXcmTbTDElR0rYBQ59p4GbjIt1GE,103
"7bc85e71-f1c2-4fa2-9ec9-31a456629377","RANKED_SOLO_5x5","DIAMOND","I","kbDEZG0GkFe_o3LtlmN-kt37H0f1QbhuwYUHhrTnKRaY24Sk","Friendly winner",0.0,88.0,66.0,false,false,false,true,,,,,cGtR4SLlT6pfd5w03dZvbRLjGOuHh4qq_OdcVswnK9HD6KM,291
"e265eec6-4607-4fef-86f9-9cd9fcef701e","RANKED_SOLO_5x5","DIAMOND","I","FBN1vEgYwgShzNsfyLBJrSyuZBJcLdKKuJMZZBF4r7JxdC9_","Flha Flha",52.0,74.0,62.0,false,false,false,false,,,,,9fmRrVF232cYujx6GQqKEKohoKVvHBjAAd8qfRamhgpcOSg,179
"d6e154f0-4138-488f-b58c-f386f1f3ed9d","RANKED_SOLO_5x5","DIAMOND","I","LNDJVvMcJ9MwZX3RWhKo225HGE9-BqR--TO3-7uJ0GCsJzqF","Zikolo",0.0,213.0,196.0,false,false,false,false,,,,,zQJ06qkTyx0UCsoFzscbN6vq9ibpgll36rmQ_zy5c0IZvFg,67
"89fbf156-f151-4456-8bdb-a59a1f8ef6d2","RANKED_SOLO_5x5","DIAMOND","I","TuwClF7jwnTyakrHoft4EnR6PORkEQ3opmUBmnKAb_4cv8xc","Kαt4Reset",42.0,169.0,161.0,false,false,false,false,,,,,vsRLhEWlZb073ltcqUAXlKUb9jqyps5gzohkXccsgStaNS0,130
"c97ba66b-4fe3-4ca8-a983-fb179940dac1","RANKED_SOLO_5x5","DIAMOND","I","sAKoPt_taeepK3LPhq-Ff9cf2ujWg66_wErVeopqv6LbpfQu","Colo is Mine",100.0,50.0,26.0,false,false,false,false,3.0,1.0,1.0,"WLNNN",2xXYqMZCvyrWqKYG260HyYFvsOwDzTyr-0D4-SjVlLpc1b4,113
"3db1f940-2949-44ec-9ba6-55509013266f","RANKED_SOLO_5x5","DIAMOND","I","2clNq7qJJQb2pKKb-QHFPc_ugRtaMWGFrEecicMxs7FXEQNb","1Fear",46.0,94.0,69.0,false,false,false,false,,,,,KrrGKQ6VPNv0xdVYZQhcx558KWOX3zB4rFkKH-V3DnG_kkw,125
"c243ac82-ab5d-4603-9347-703d4b028218","RANKED_SOLO_5x5","DIAMOND","I","aGqn4rofJGXl6JBxVxdCaf45TTGYRZ4z2bAQjL-Tq8ztrcQi","limewaterfanatic",55.0,60.0,58.0,false,false,false,false,,,,,kfTUGZ34-kkxnHEIkGhOMZuqg1UKMB4nfEmGhqFOPjO6BdA,69
"9d669f74-04b6-4a23-8c68-fb959983ddb6","RANKED_SOLO_5x5","DIAMOND","I","1SVht3bPpwX_e3qkjJDppKfCxxVJhA1s_3MjI4PtJ0uS4_mN","Phanse",2.0,252.0,230.0,false,false,true,false,,,,,xPXlUnXk9oR_48L2y_-emKfrOIpAYIFs0sWvYQtJ4QwWmeo,123
"188c3194-1b58-4982-93dd-dfbc275c83bb","RANKED_SOLO_5x5","DIAMOND","I","eEvIznfTk5v9UNVzgoFLih4l7lr0YHEdvA4zeO6wDEnuy7B6","Elyscent",71.0,73.0,58.0,false,false,false,true,,,,,dkF7ysEVI0xuJaXSU7jymZa7lN_e5Tkr0EXtN6Z0g_XAaKs,463
"8213b6ea-74eb-4f34-a199-749b1e9470fb","RANKED_SOLO_5x5","DIAMOND","I","8rJvR2JRxkBq6vgN-1D4TEy_5WKhrkmOkzTNCbAVQ8iFuQlc","Ares Sama TnT",43.0,80.0,75.0,false,false,false,false,,,,,tJQUU79iQsZoTA0O7Nl9FmAqWpaQOD2y-L5oR0nZNz1kdeA,72
"c97ba66b-4fe3-4ca8-a983-fb179940dac1","RANKED_SOLO_5x5","DIAMOND","I","aOTUG1vVbyklppnMEX96oJ_YQPq1XLyE2KhOUBmUIoH9UDbz","King Zurvan",0.0,44.0,40.0,false,false,false,false,,,,,Lerq1WvTdCnfQn13C5rTp-HVa9bPRKTybcs4qtmRZIhcYiU,123
"78fcfda6-d046-4cb0-8ad8-f54ece8ca2b7","RANKED_SOLO_5x5","DIAMOND","I","nLY1jwm228ZSJ5D7Ayr1WMVIsftImp8KUTiihwAwiGwucXgO","ΖenDaR",23.0,33.0,28.0,false,false,false,false,,,,,BshhOQiId9CClwGaepbO-I_y_G5kVs44rvZE6R5joIjClSY,79
