matchID,bannedChampion
4388906536,25
4388906536,64
4388906536,875
4388906536,21
4388906536,82
4388906536,38
4388906536,21
4388906536,131
4388906536,523
4388906536,2
4358787278,157
4358787278,55
4358787278,235
4358787278,17
4358787278,84
4358787278,2
4358787278,69
4358787278,107
4358787278,523
4358787278,111
4475045163,-1
4475045163,115
4475045163,64
4475045163,350
4475045163,8
4475045163,235
4475045163,-1
4475045163,523
4475045163,875
4475045163,62
4455266785,350
4455266785,38
4455266785,875
4455266785,111
4455266785,245
4455266785,30
4455266785,55
4455266785,89
4455266785,8
4455266785,-1
4425547447,523
4425547447,350
4425547447,875
4425547447,30
4425547447,516
4425547447,350
4425547447,235
4425547447,246
4425547447,60
4425547447,523
4418671824,16
4418671824,516
4418671824,114
4418671824,30
4418671824,69
4418671824,114
4418671824,107
4418671824,64
4418671824,235
4418671824,523
4483272642,62
4483272642,412
4483272642,60
4483272642,235
4483272642,86
4483272642,89
4483272642,2
4483272642,131
4483272642,82
4483272642,235
4445709526,111
4445709526,235
4445709526,421
4445709526,875
4445709526,516
4445709526,134
4445709526,111
4445709526,235
4445709526,53
4445709526,523
4282290491,84
4282290491,498
4282290491,235
4282290491,-1
4282290491,38
4282290491,119
4282290491,13
4282290491,134
4282290491,111
4282290491,84
4272544631,24
4272544631,134
4272544631,38
4272544631,2
4272544631,107
4272544631,134
4272544631,-1
4272544631,58
4272544631,30
4272544631,35
4464964844,38
4464964844,111
4464964844,58
4464964844,122
4464964844,131
4464964844,134
4464964844,38
4464964844,89
4464964844,30
4464964844,421
4440302907,238
4440302907,25
4440302907,86
4440302907,142
4440302907,245
4440302907,421
4440302907,64
4440302907,235
4440302907,38
4440302907,24
4421980179,350
4421980179,30
4421980179,64
4421980179,89
4421980179,516
4421980179,875
4421980179,516
4421980179,235
4421980179,91
4421980179,69
4399662777,111
4399662777,246
4399662777,38
4399662777,142
4399662777,875
4399662777,421
4399662777,246
4399662777,245
4399662777,875
4399662777,523
4393579005,412
4393579005,107
4393579005,235
4393579005,131
4393579005,38
4393579005,8
4393579005,64
4393579005,875
4393579005,107
4393579005,523
4236237534,238
4236237534,157
4236237534,86
4236237534,28
4236237534,54
4236237534,35
4236237534,555
4236237534,51
4236237534,498
4236237534,157
4381766283,92
4381766283,89
4381766283,64
4381766283,111
4381766283,2
4381766283,64
4381766283,246
4381766283,164
4381766283,89
4381766283,119
4367951853,13
4367951853,84
4367951853,523
4367951853,38
4367951853,2
4367951853,64
4367951853,105
4367951853,21
4367951853,114
4367951853,245
4404887400,38
4404887400,875
4404887400,245
4404887400,114
4404887400,516
4404887400,64
4404887400,16
4404887400,23
4404887400,111
4404887400,235
4384620844,235
4384620844,25
4384620844,121
