/championId,/championLevel,/championPoints,/lastPlayTime,/championPointsSinceLastLevel,/championPointsUntilNextLevel,/chestGranted,/tokensEarned,/summonerId
113.0,1.0,1036.0,1.455148515E12,1036.0,764.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
79.0,1.0,957.0,1.461777823E12,957.0,843.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
44.0,1.0,944.0,1.458072215E12,944.0,856.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
96.0,1.0,904.0,1.456300979E12,904.0,896.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
78.0,1.0,835.0,1.490818084E12,835.0,965.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
54.0,1.0,561.0,1.488226298E12,561.0,1239.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
16.0,1.0,389.0,1.535824165E12,389.0,1411.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
58.0,1.0,318.0,1.579968328E12,318.0,1482.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
53.0,1.0,313.0,1.461693257E12,313.0,1487.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
202.0,1.0,261.0,1.456303962E12,261.0,1539.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
245.0,1.0,243.0,1.445738392E12,243.0,1557.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
21.0,1.0,232.0,1.457819853E12,232.0,1568.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
57.0,1.0,227.0,1.461016797E12,227.0,1573.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
2.0,1.0,219.0,1.457850554E12,219.0,1581.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
111.0,1.0,191.0,1.457049953E12,191.0,1609.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
91.0,1.0,188.0,1.461618184E12,188.0,1612.0,false,0.0,"ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY"
92.0,7.0,357615.0,1.577018476E12,336015.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
58.0,7.0,265817.0,1.585138548E12,244217.0,0.0,true,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
85.0,7.0,96176.0,1.580505735E12,74576.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
114.0,7.0,95979.0,1.58367074E12,74379.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
157.0,7.0,76958.0,1.584846291E12,55358.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
24.0,7.0,75253.0,1.584052774E12,53653.0,0.0,true,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
64.0,7.0,74615.0,1.582732715E12,53015.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
245.0,7.0,69160.0,1.585028448E12,47560.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
81.0,6.0,68066.0,1.584848394E12,46466.0,0.0,false,0.0,"Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8"
