matchID,bannedChampion
4370799323,64
4370799323,96
4370096692,13
4370096692,875
4370096692,235
4370096692,2
4370096692,84
4370096692,84
4370096692,60
4370096692,235
4370096692,523
4370096692,85
4496673036,7
4496673036,235
4496673036,62
4496673036,203
4496673036,875
4496673036,35
4496673036,30
4496673036,412
4496673036,92
4496673036,131
4496561150,107
4496561150,62
4496561150,122
4496561150,13
4496561150,89
4496561150,30
4496561150,62
4496561150,35
4496561150,24
4496561150,69
4496156634,55
4496156634,30
4496156634,157
4496156634,62
4496156634,107
4496156634,39
4496156634,350
4496156634,38
4496156634,115
4496156634,421
4493170209,23
4493170209,517
4493170209,203
4493170209,-1
4493170209,-1
4493170209,119
4493170209,58
4493170209,555
4493170209,134
4493170209,122
4493026831,76
4493026831,122
4493026831,64
4493026831,81
4493026831,350
4493026831,25
4493026831,-1
4493026831,2
4493026831,122
4493026831,55
4492958868,89
4492958868,111
4492958868,28
4492958868,23
4492958868,203
4492958868,875
4492958868,122
4492958868,432
4492958868,8
4492958868,64
4492781761,81
4492781761,62
4492781761,38
4492781761,350
4492781761,2
4492781761,23
4492781761,76
4492781761,523
4492781761,35
4492781761,235
4492695107,154
4492695107,122
4492695107,235
4492695107,121
4492695107,91
4492695107,-1
4492695107,82
4492695107,350
4492695107,203
4492695107,-1
4492617277,421
4492617277,30
4492617277,875
4492617277,-1
4492617277,89
4492617277,38
4492617277,62
4492617277,117
4492617277,107
4492617277,875
4492570351,58
4492570351,107
4492570351,-1
4492570351,89
4492570351,111
4492570351,350
4492570351,55
4492570351,245
4492570351,2
4492570351,39
4492542778,114
4492542778,60
4492542778,64
4492542778,235
4492542778,62
4492542778,62
4492542778,875
4492542778,-1
4492542778,203
4492542778,497
4492454269,131
4492454269,89
4492454269,114
4492454269,142
4492454269,69
4492454269,62
4492454269,-1
4492454269,64
4492454269,69
4492454269,44
4490147412,131
4490147412,13
4490147412,55
4490147412,350
4490147412,80
4490147412,-1
4490147412,517
4490147412,350
4490147412,238
4490147412,-1
4489507086,107
4489507086,-1
4489507086,429
4489507086,223
4489507086,60
4489507086,62
4489507086,64
4489507086,350
4489507086,55
4489507086,235
4487090325,114
4487090325,350
4487090325,7
4487090325,25
4487090325,875
4487090325,235
4487090325,516
4487090325,-1
4487090325,30
4487090325,131
4486911833,81
4486911833,-1
4486911833,38
4486911833,145
4486911833,89
4486911833,39
4486911833,55
4486911833,107
4486911833,35
4486911833,60
4486098121,30
4486098121,122
4486098121,2
4486098121,38
4486098121,67
4486098121,30
4486098121,-1
4486098121,60
4486098121,69
4486098121,24
4484510612,245
4484510612,60
4484510612,23
4484510612,30
4484510612,-1
4484510612,131
4484510612,875
4484510612,89
4484510612,38
4484510612,21
4484453587,82
4484453587,246
4484453587,107
4484453587,157
4484453587,8
4484453587,350
4484453587,23
4484453587,107
4484453587,154
4484453587,-1
4478230219,-1
4478230219,875
4478230219,350
4478230219,38
4478230219,30
4478230219,111
4478230219,142
4478230219,39
4478230219,-1
4478230219,107
4461352258,-1
4461352258,523
4461352258,2
4461352258,64
4461352258,235
4461352258,523
4461352258,235
4461352258,111
4461352258,122
4461352258,131
4461213498,44
4461213498,38
4461213498,350
4461213498,432
4461213498,30
4461213498,-1
4461213498,122
4461213498,429
4461213498,19
4461213498,25
4457278511,89
4457278511,45
4457278511,107
4457278511,235
4457278511,30
4457278511,240
4457278511,523
4457278511,38
4457278511,111
4457278511,245
4457247753,55
4457247753,235
4457247753,350
4457247753,24
4457247753,429
4457247753,91
4457247753,69
4457247753,131
4457247753,28
4457247753,350
4457305087,111
4457305087,141
4457305087,131
4457305087,122
4457305087,350
4457305087,157
4457305087,-1
4457305087,45
4457305087,122
4457305087,38
4457311632,11
4457311632,27
4457311632,38
4457311632,131
4457311632,89
4457311632,8
4457311632,235
4457311632,38
4457311632,64
4457311632,-1
4457197764,111
4457197764,555
4457197764,432
4457197764,875
4457197764,-1
4457197764,11
4457197764,235
4457197764,246
4457197764,80
4457197764,117
4457154685,412
4457154685,80
4457154685,875
4457154685,89
