matchID,participantID,accountID,originalRegion
4451937377,3,NTEcZVdnYoZMFrjqI-cwtNOYh38QkDLmWGDIiUWwVZb5h9A,EUW1
4451937377,4,iiNTr9kzyY8UMgHBkEovexDEk6FRiyvwBiA-vpqAi-C-9w,EUN1
4451937377,5,mo3uyRID_W_j0LdetQGhZExDMGxZthB95ilhGmDkk7mvoQ,EUN1
4451937377,6,OfKDPWakjIB_SzAi5RahxWacoNnFqKadj0Pdr2mPd9aguQ,EUN1
4451937377,7,NzD_dx6-01d7173QyMA86BYxKGl1WyC7DCu7-4h44p2kZYg,TR1
4451937377,8,kWWTMWjuitUZH8vrd2-p2Uimh7L7lXRm5FVasmaYJzvUtg,EUW1
4451937377,9,5dWAZirZGLs9TPRy0G_qwETLlfRmvFaOvOLDzqMCxu64mtU,EUW1
4451937377,10,IYqhfFsUmyCCGdeWxVq_cZymqi9313kBv6BO94cB9XNDbQ,EUW1
4450001812,1,Faqfh-m0nI2PueBD0MJIpHw6e2_FPaQyoerfHjNy6UfhWA,EUN1
4450001812,2,J7XjUs4oyDYhCc0__EQJoM7v14XBbCspqG6vNF6rcsw-kjsnjLkir-Yt,EUW1
4450001812,3,4Y2fPLOi0pz8zQSm4tHQ_qJndz4jcU4ouGij60nD4WRe7g,EUN1
4450001812,4,NzD_dx6-01d7173QyMA86BYxKGl1WyC7DCu7-4h44p2kZYg,TR1
4450001812,5,0LcXV5LsYWBiySSNCRroARxmYLhLMkumi2IIpuMdffExieg,TR1
4450001812,6,vKlcSVR7SFZuzNjSV9e9ccEot1l0C5YCEj_u_HZrMK1GeFtjE-PqbB5I,EUW1
4450001812,7,5xTNvqMBrdTCdUQFbWPWtF1wo5N6jft08FIBssfFHQweMg,EUW1
4450001812,8,FYmF0WbHXdCZ2d8YMogq6THrXzhlIx-9R95-TGSb8IUmUg,EUW1
4450001812,9,LpJ_nsgJ3A15dQ9fWUclDy5san5SbID6GCxvVcPZ6yBh2Q,EUW1
4450001812,10,y6nsvpAlTDdTSGbtjQx65kvsEOX8r_TjNrzB4U9gMmqlrg,EUW1
4449888923,1,lTTjJjtYjufvA_u0uG_KD5X6QrlRKQMXEI0syYJAusMmAg,EUW1
4449888923,2,_zwiAJ23arLXdyR1-E23zJxjEs7vPq7PZ7WbXd_vMPHUYg,EUN1
4449888923,3,J7XjUs4oyDYhCc0__EQJoM7v14XBbCspqG6vNF6rcsw-kjsnjLkir-Yt,EUW1
4449888923,4,oWVBJ6EOS15UfvVSSxZ35aeWv1Gfb3hEy8pa_y9MM_aaFNg,EUW1
4449888923,5,NzD_dx6-01d7173QyMA86BYxKGl1WyC7DCu7-4h44p2kZYg,TR1
4449888923,6,0MhhWwrd0xm12Z0bO_wc6xqk_yIAb0rImeS5bWtH-MUW3cY,EUW1
4449888923,7,VTNkFJ0dMf-jo92kwBM1uNR0qs-dwv5iX_2A0dLVpWWiNus,EUW1
4449888923,8,8zninxhWlgZxpcaXOAhCA7hpKlWw8a8XTxqtFykmuc_ok8yzTnuiFSPR,EUW1
4449888923,9,SUReuUPn7hkjJGHxO9QmKUkdzGbHIfSaNqZeJgR0QBrjB7hug3Ddmguv,EUW1
4449888923,10,CBqOVZAIWMojFbwt9qA40xvkdOIQFfvTIENBg3lymHYB5xU,EUW1
4449853081,1,tDiM5Cp0ddVfgCnK1_97zFe7172ExluShfpevY_tVRSPNf8,EUW1
4449853081,2,5bcxagR2tslmgJztUIS1pyM8q83C_Hgei-puF4eyCB6mvg,EUW1
4449853081,3,p4Ea7JSd33xm6-QN-Tb5XsqFydhDLgwZHV43B_6k_GM9NUs,EUN1
4449853081,4,NSXVWmVMgBuzlj8PwEnGBma-1IjdniW8sUp-DJ3CZZBvoqc,EUN1
4449853081,5,275eaLnkUSo66AgSUyQpnHgPs0b6PCXrJLeEaKN3FHGz4g,EUW1
4449853081,6,cyEBTUBtcGzNM3VqZLsW9umxtSKTxy945Pv1olPHQPbwiqjVKyPUxy0l,EUW1
4449853081,7,RdeWja-WZTa3vuxdqaQCi43pSZC_pmlF_jKMmKryAHIqNZqAKinwn7DF,EUW1
4449853081,8,CNTWtyjfWSKyoEa3pkhqjYktscyBbgOStmoLxQTYTmJWriA,TR1
